name,model,imbalance_method,roc_auc,pr_auc,precision_at_0.5,recall_at_0.5,recall_at_20pct
logreg_smote,logreg,smote,0.8031508755186367,0.44361558653293626,0.31507163323782233,0.7879048437947836,0.525078819145887
logreg_none,logreg,none,0.8030100573528877,0.44318175542682503,0.3145952109464082,0.7907709945543135,0.5239323588420751
logreg_undersample,logreg,undersample,0.8021917926714617,0.441769539053887,0.31356703847029366,0.7896245342505016,0.5227858985382631
xgboost_none,xgboost,none,0.7934647040905719,0.428258789192954,0.3138982264982033,0.7761536256807108,0.5030094582975064
xgboost_undersample,xgboost,undersample,0.7945446178535785,0.42753455016527153,0.3053989592367736,0.8073946689595872,0.49756377185439954
random_forest_none,random_forest,none,0.7922680387700934,0.42499204698589055,0.4032185963343764,0.5170535970192032,0.5007165376898824
xgboost_smote,xgboost,smote,0.793901974367689,0.4240914576157393,0.35129151291512917,0.6821438807681284,0.4944110060189166
random_forest_undersample,random_forest,undersample,0.7926905575092043,0.4178189802608642,0.30684517382854676,0.8145600458584121,0.5032960733734595
random_forest_smote,random_forest,smote,0.7860857470848567,0.40561650443460256,0.3424540401881146,0.6887360275150473,0.49068501003152765
size_ranking,size_ranking,-,0.7772195427476124,0.40381405890811206,0.16353409889852355,1.0,0.49326454571510464
majority_class,majority_class,-,0.5,0.16353409889852355,0.0,0.0,0.3035253654342218
